first_name,last_name,email
ALFREDO,MCADAMS,ALFREDO.MCADAMS@sakilacustomer.org
RENE,MCALISTER,RENE.MCALISTER@sakilacustomer.org
MORRIS,MCCARTER,MORRIS.MCCARTER@sakilacustomer.org
JESUS,MCCARTNEY,JESUS.MCCARTNEY@sakilacustomer.org
VERA,MCCOY,VERA.MCCOY@sakilacustomer.org
RICHARD,MCCRARY,RICHARD.MCCRARY@sakilacustomer.org
BRAD,MCCURDY,BRAD.MCCURDY@sakilacustomer.org
EDITH,MCDONALD,EDITH.MCDONALD@sakilacustomer.org
SAM,MCDUFFIE,SAM.MCDUFFIE@sakilacustomer.org
MIRIAM,MCKINNEY,MIRIAM.MCKINNEY@sakilacustomer.org
RAYMOND,MCWHORTER,RAYMOND.MCWHORTER@sakilacustomer.org
LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org
