first_name,last_name,email
MARY,SMITH,MARY.SMITH@sakilacustomer.org
PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org
LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org
BARBARA,JONES,BARBARA.JONES@sakilacustomer.org
ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org
JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org
MARIA,MILLER,MARIA.MILLER@sakilacustomer.org
SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org
MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org
DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org
LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org
NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org
KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org
BETTY,WHITE,BETTY.WHITE@sakilacustomer.org
HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org
SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org
DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org
CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org
RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org
SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org
MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org
LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org
SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org
KIMBERLY,LEE,KIMBERLY.LEE@sakilacustomer.org
DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org
JESSICA,HALL,JESSICA.HALL@sakilacustomer.org
SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org
CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org
ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org
MELISSA,KING,MELISSA.KING@sakilacustomer.org
BRENDA,WRIGHT,BRENDA.WRIGHT@sakilacustomer.org
AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org
ANNA,HILL,ANNA.HILL@sakilacustomer.org
REBECCA,SCOTT,REBECCA.SCOTT@sakilacustomer.org
VIRGINIA,GREEN,VIRGINIA.GREEN@sakilacustomer.org
KATHLEEN,ADAMS,KATHLEEN.ADAMS@sakilacustomer.org
PAMELA,BAKER,PAMELA.BAKER@sakilacustomer.org
MARTHA,GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org
DEBRA,NELSON,DEBRA.NELSON@sakilacustomer.org
AMANDA,CARTER,AMANDA.CARTER@sakilacustomer.org
STEPHANIE,MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org
CAROLYN,PEREZ,CAROLYN.PEREZ@sakilacustomer.org
CHRISTINE,ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org
MARIE,TURNER,MARIE.TURNER@sakilacustomer.org
JANET,PHILLIPS,JANET.PHILLIPS@sakilacustomer.org
CATHERINE,CAMPBELL,CATHERINE.CAMPBELL@sakilacustomer.org
FRANCES,PARKER,FRANCES.PARKER@sakilacustomer.org
ANN,EVANS,ANN.EVANS@sakilacustomer.org
JOYCE,EDWARDS,JOYCE.EDWARDS@sakilacustomer.org
DIANE,COLLINS,DIANE.COLLINS@sakilacustomer.org
ALICE,STEWART,ALICE.STEWART@sakilacustomer.org
JULIE,SANCHEZ,JULIE.SANCHEZ@sakilacustomer.org
HEATHER,MORRIS,HEATHER.MORRIS@sakilacustomer.org
TERESA,ROGERS,TERESA.ROGERS@sakilacustomer.org
DORIS,REED,DORIS.REED@sakilacustomer.org
GLORIA,COOK,GLORIA.COOK@sakilacustomer.org
EVELYN,MORGAN,EVELYN.MORGAN@sakilacustomer.org
JEAN,BELL,JEAN.BELL@sakilacustomer.org
CHERYL,MURPHY,CHERYL.MURPHY@sakilacustomer.org
MILDRED,BAILEY,MILDRED.BAILEY@sakilacustomer.org
KATHERINE,RIVERA,KATHERINE.RIVERA@sakilacustomer.org
JOAN,COOPER,JOAN.COOPER@sakilacustomer.org
ASHLEY,RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org
JUDITH,COX,JUDITH.COX@sakilacustomer.org
ROSE,HOWARD,ROSE.HOWARD@sakilacustomer.org
JANICE,WARD,JANICE.WARD@sakilacustomer.org
KELLY,TORRES,KELLY.TORRES@sakilacustomer.org
NICOLE,PETERSON,NICOLE.PETERSON@sakilacustomer.org
JUDY,GRAY,JUDY.GRAY@sakilacustomer.org
CHRISTINA,RAMIREZ,CHRISTINA.RAMIREZ@sakilacustomer.org
KATHY,JAMES,KATHY.JAMES@sakilacustomer.org
THERESA,WATSON,THERESA.WATSON@sakilacustomer.org
BEVERLY,BROOKS,BEVERLY.BROOKS@sakilacustomer.org
DENISE,KELLY,DENISE.KELLY@sakilacustomer.org
TAMMY,SANDERS,TAMMY.SANDERS@sakilacustomer.org
IRENE,PRICE,IRENE.PRICE@sakilacustomer.org
JANE,BENNETT,JANE.BENNETT@sakilacustomer.org
LORI,WOOD,LORI.WOOD@sakilacustomer.org
RACHEL,BARNES,RACHEL.BARNES@sakilacustomer.org
MARILYN,ROSS,MARILYN.ROSS@sakilacustomer.org
ANDREA,HENDERSON,ANDREA.HENDERSON@sakilacustomer.org
KATHRYN,COLEMAN,KATHRYN.COLEMAN@sakilacustomer.org
LOUISE,JENKINS,LOUISE.JENKINS@sakilacustomer.org
SARA,PERRY,SARA.PERRY@sakilacustomer.org
ANNE,POWELL,ANNE.POWELL@sakilacustomer.org
JACQUELINE,LONG,JACQUELINE.LONG@sakilacustomer.org
WANDA,PATTERSON,WANDA.PATTERSON@sakilacustomer.org
BONNIE,HUGHES,BONNIE.HUGHES@sakilacustomer.org
JULIA,FLORES,JULIA.FLORES@sakilacustomer.org
RUBY,WASHINGTON,RUBY.WASHINGTON@sakilacustomer.org
LOIS,BUTLER,LOIS.BUTLER@sakilacustomer.org
TINA,SIMMONS,TINA.SIMMONS@sakilacustomer.org
PHYLLIS,FOSTER,PHYLLIS.FOSTER@sakilacustomer.org
NORMA,GONZALES,NORMA.GONZALES@sakilacustomer.org
PAULA,BRYANT,PAULA.BRYANT@sakilacustomer.org
DIANA,ALEXANDER,DIANA.ALEXANDER@sakilacustomer.org
ANNIE,RUSSELL,ANNIE.RUSSELL@sakilacustomer.org
LILLIAN,GRIFFIN,LILLIAN.GRIFFIN@sakilacustomer.org
EMILY,DIAZ,EMILY.DIAZ@sakilacustomer.org
